provincias;grupo_edad;sexo;poblacion_total
10 Cáceres;De 15 a 19 años  ;Hombres;9.229
10 Cáceres;De 15 a 19 años  ;Mujeres;8.652
10 Cáceres;De 20 a 24 años;Hombres;9.446
10 Cáceres;De 20 a 24 años;Mujeres;8.599
10 Cáceres;De 25 a 29 años;Hombres;9.647
10 Cáceres;De 25 a 29 años;Mujeres;8.925
10 Cáceres;De 30 a 34 años;Hombres;10.504
10 Cáceres;De 30 a 34 años;Mujeres;9.591
10 Cáceres;De 35 a 39 años;Hombres;11.755
10 Cáceres;De 35 a 39 años;Mujeres;10.895
10 Cáceres;De 40 a 44 años;Hombres;13.329
10 Cáceres;De 40 a 44 años;Mujeres;12.612
10 Cáceres;De 45 a 49 años;Hombres;13.993
10 Cáceres;De 45 a 49 años;Mujeres;13.572
10 Cáceres;De 50 a 54 años;Hombres;15.305
10 Cáceres;De 50 a 54 años;Mujeres;14.850
10 Cáceres;De 55 a 59 años;Hombres;16.175
10 Cáceres;De 55 a 59 años;Mujeres;15.485
10 Cáceres;De 60 a 64 años;Hombres;14.306
10 Cáceres;De 60 a 64 años;Mujeres;13.416
10 Cáceres;De 65 a 69 años;Hombres;11.173
10 Cáceres;De 65 a 69 años;Mujeres;10.566
10 Cáceres;De 70 a 74 años  ;Hombres;8.819
10 Cáceres;De 70 a 74 años  ;Mujeres;9.701
10 Cáceres;De 75 a 79 años  ;Hombres;7.321
10 Cáceres;De 75 a 79 años  ;Mujeres;9.083
10 Cáceres;De 80 a 84 años  ;Hombres;5.699
10 Cáceres;De 80 a 84 años  ;Mujeres;8.069
10 Cáceres;De 85 a 89 años  ;Hombres;4.470
10 Cáceres;De 85 a 89 años  ;Mujeres;7.322
10 Cáceres;90 y más años;Hombres;2.062
10 Cáceres;90 y más años;Mujeres;4.268
11 Cádiz;De 0 a 4 años;Hombres;26.420
11 Cádiz;De 0 a 4 años;Mujeres;24.872
11 Cádiz;De 5 a 9 años;Hombres;31.708
11 Cádiz;De 5 a 9 años;Mujeres;29.996
11 Cádiz;De 10 a 14 años  ;Hombres;37.417
11 Cádiz;De 10 a 14 años  ;Mujeres;35.798
11 Cádiz;De 15 a 19 años  ;Hombres;35.507
11 Cádiz;De 15 a 19 años  ;Mujeres;33.420
11 Cádiz;De 20 a 24 años;Hombres;32.188
11 Cádiz;De 20 a 24 años;Mujeres;30.168
11 Cádiz;De 25 a 29 años;Hombres;32.538
11 Cádiz;De 25 a 29 años;Mujeres;30.719
11 Cádiz;De 30 a 34 años;Hombres;35.242
11 Cádiz;De 30 a 34 años;Mujeres;34.516
11 Cádiz;De 35 a 39 años;Hombres;41.363
11 Cádiz;De 35 a 39 años;Mujeres;41.138
11 Cádiz;De 40 a 44 años;Hombres;49.349
11 Cádiz;De 40 a 44 años;Mujeres;48.683
11 Cádiz;De 45 a 49 años;Hombres;50.039
11 Cádiz;De 45 a 49 años;Mujeres;48.259
11 Cádiz;De 50 a 54 años;Hombres;48.285
11 Cádiz;De 50 a 54 años;Mujeres;48.080
11 Cádiz;De 55 a 59 años;Hombres;43.520
11 Cádiz;De 55 a 59 años;Mujeres;44.026
11 Cádiz;De 60 a 64 años;Hombres;37.675
11 Cádiz;De 60 a 64 años;Mujeres;38.951
11 Cádiz;De 65 a 69 años;Hombres;29.550
11 Cádiz;De 65 a 69 años;Mujeres;31.369
11 Cádiz;De 70 a 74 años  ;Hombres;24.359
11 Cádiz;De 70 a 74 años  ;Mujeres;27.501
11 Cádiz;De 75 a 79 años  ;Hombres;17.981
11 Cádiz;De 75 a 79 años  ;Mujeres;22.233
11 Cádiz;De 80 a 84 años  ;Hombres;10.984
11 Cádiz;De 80 a 84 años  ;Mujeres;16.561
11 Cádiz;De 85 a 89 años  ;Hombres;6.562
